performance_id,facility_id,title,start_date,end_date,place,cast,editor,runtime,age,producer,ticket_price,performance_status,child,musical_license,time,poster
PF251050,FC001196,미드나잇: 액터 뮤지션 [구리],2024.10.16,2024.10.18,구리아트홀 (코스모스대극장),,,1시간 30분,만 12세 이상,,,공연완료,N,N,"수요일 ~ 금요일(10:30,14:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF251050_241011_130131.png
PF251045,FC001682,"청공축제, 온새미로",2024.10.23,2024.10.23,민송아트홀 (구. 브로드웨이아트홀) (1관),"박다영, 구문회, 김영현, 김소진, 이예린, 박상홍, 설준형 등","이응규, 박철중, 민다은 등",1시간,만 9세 이상,(주)이지뮤지컬컴퍼니,"전석 20,000원",공연완료,N,Y,"수요일(10:30,19:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF251045_241011_123744.jpg
PF251037,FC000463,박해미의 살롱콘서트: 라비앙로즈 [익산],2024.10.24,2024.10.24,솜리문화예술회관 (중공연장),"박해미, 엄준식, 최낙희, 제냐, 임세민",,1시간 40분,만 7세 이상,,"전석 20,000원",공연완료,N,N,목요일(19:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF251037_241011_113407.gif
PF251032,FC001852,"네버엔딩플레이 뮤지컬 리딩 쇼케이스 시즌3, N.E.P.플릭스3",2024.10.19,2024.10.20,연희예술극장 (연희예술극장),"임찬민, 고은영, 이유진, 주효리, 김윤성, 박광현, 송지온 등","오세형, 최종혁, 김주한 등",1시간,만 12세 이상,,"전석 5,000원",공연완료,N,N,"토요일 ~ 일요일(14:00,16:00,18:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF251032_241011_111300.gif
PF251023,FC000754,무궁화 꽃이 피었습니다 [홍천],2024.10.30,2024.10.30,홍천문화예술회관 (홍천문화예술회관),"이진샘, 중리, 호연, 최서우, 김솔, 이용우, 한혜민 등","안준형, 송현진, 이태훈 등",1시간 50분,만 7세 이상,,전석무료,공연완료,N,N,수요일(19:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF251023_241011_104012.jpg
PF250944,FC003921,우주야! 어디가?! [김포],2024.10.01,2024.12.27,소다아트홀 (소다아트홀),,,40분,전체 관람가,,"전석 40,000원",공연중,Y,N,"금요일(16:00), 토요일 ~ 일요일(11:00,14:00), HOL(11:00,14:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250944_241010_170237.jpg
PF250853,FC000529,유앤잇 [상주],2024.10.26,2024.10.26,상주문화회관 (대공연장),"서형훈, 서찬양, 김소정, 박성하, 박소연, 김유진","오서은, 이응규, 박철중 등",1시간 40분,만 8세 이상,이지(EG)뮤지컬 컴퍼니,"전석 10,000원",공연완료,N,N,"토요일(14:00,19:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250853_241010_112539.gif
PF250779,FC000546,봄날의 곰 [영천],2024.10.26,2024.10.26,영천시민회관 (스타홀),,,1시간 10분,만 7세 이상,,"전석 10,000원",공연완료,N,N,"토요일(11:00,14:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250779_241015_092520.jpg
PF250753,FC001378,정글라이프 [무안],2024.10.17,2024.10.17,무안승달문화예술회관 (대공연장),"이주광, 신원경, 김진철, 손지애, 조환준, 김태윤, 송나영","박주형, 조민형, 이현섭 등",,만 7세 이상,,"일반석 10,000원",공연완료,N,N,목요일(19:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250753_241008_110538.jpg
PF250733,FC000559,한글용사 아이야: 사라진 한글을 찾아라! [인제],2024.10.19,2024.10.19,인제하늘내린센터 (대공연장),,,1시간,24개월 이상,,"전석 20,000원",공연완료,Y,N,"토요일(11:00,14:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250733_241008_101627.jpg
PF250690,FC001875,라푼젤 [남양주],2024.10.26,2024.10.26,남양주 어린이비전센터 (다목적강당),,,1시간,24개월 이상,극단 해미소,"전석 30,000원",공연완료,Y,N,"토요일(12:00,14:00,16:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250690_241007_163127.jpg
PF250627,FC003462,집들이 콘서트 #41. 더맨인더홀,2024.10.14,2024.10.14,스케치홀 (구.소극장 선물 1관) (SA Hall (지하1층) ),"임강성, 김찬호, 김지철, 강혜인, 박준휘, 김한결, 강예나 등","옥한나, 김연진, 김아린 등",1시간 50분,전체 관람가,,"전석 66,000원",공연완료,N,N,월요일(19:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250627_241007_141111.gif
PF250616,FC001256,제8회 연극하는 시민들 정기공연: 오! 오! [포항],2024.10.19,2024.10.20,포항시청 대잠홀 (포항시청 대잠홀),,"이정길, 전현미, 홍충민",1시간,전체 관람가,,전석무료,공연완료,N,N,"토요일(19:30), 일요일(16:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250616_241007_133806.png
PF250614,FC001884,콩쥐팥쥐,2024.10.09,2024.10.27,달밤엔씨어터 (달밤엔씨어터),,,50분,전체 관람가,,"전석 40,000원",공연완료,Y,N,"일요일(11:30), HOL(11:30)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250614_241007_133359.jpg
PF250608,FC001396,문나이트 MOON NIGHT [무안],2024.10.19,2024.10.19,남도소리울림터 (남도소리울림터),"최동욱, 민선예, 김유권, 홍순목, 정영주, 표바하, 문준혁 등",,2시간,만 7세 이상,,"전석 5,000원",공연완료,N,N,토요일(16:00),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250608_241007_131755.jpg
PF250586,FC002625,"보광동아트페스티벌, 해저2만리: 쓰레기섬의 아로낙스",2024.10.24,2024.10.26,보광극장 (보광극장),"김현아, 이달희, 강대진, 서명균, 박시연","한재훈, 이종민, 정재희 등",50분,만 7세 이상,강한기획,"전석 30,000원",공연완료,N,Y,"목요일 ~ 금요일(17:00), 토요일(15:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250586_241007_114956.jpg
PF250581,FC001328,가을밤 뮤지컬 갈라 야외 콘서트: 더 클라이맥스 [울산],2024.10.25,2024.10.25,울산중구문화의전당 (야외 잔디마당),"조나리, 백송이, 김성아, 우아영, 정순원, 이나래 등",,1시간 42분,전체 관람가,,전석무료,공연완료,N,N,금요일(19:00),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250581_241007_112830.jpg
PF250567,FC003249,호호 감자 전: 어흥편,2024.10.18,2024.10.19,한예극장 (한예극장),"박평광, 전진, 이동건, 임하랑, 강진실, 최하영, 박천영 등","박슬기, 이요현 등",50분,36개월 이상,음악공장,"감자석 44,000원",공연완료,Y,N,"금요일(10:30,14:00), 토요일(14:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250567_241007_105417.gif
PF250546,FC001130,알라딘과 자스민공주 [광명],2024.10.26,2024.12.01,소나무예술극장 (공연장),,,50분,24개월 이상,,"전석 16,000원",공연중,Y,N,토요일 ~ 일요일(12:00),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250546_241007_100720.jpg
PF250520,FC000014,섹시동안클럽 뮤지컬 페스티벌,2024.10.24,2024.10.27,충무아트센터 (대공연장),"최민철, 하도권, 문종원, 최수형, 김대종, 양준모 등","김유신, 최민철, 윤금정 등",3시간,만 7세 이상,"(주) 아이디팀, 섹동클 컴퍼니, 업플레이스, 에스엠피(SMP)","VIP석 170,000원, R석 150,000원, S석 110,000원, A석 80,000원",공연완료,N,Y,"목요일 ~ 금요일(19:30), 토요일(19:00), 일요일(16:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250520_241004_175248.gif
PF250500,FC000752,쪽팔림 한잔 하실래요? [대전],2024.10.18,2024.10.20,드림아트홀 [대전] (드림아트홀 [대전]),"우희용, 최지연, 정재원, 이재영, 한태희","한태희, 우희용, 김민정 등",2시간,만 12세 이상,극단 고래,"전석 20,000원",공연완료,N,N,"금요일(20:00), 토요일 ~ 일요일(14:00,19:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250500_241007_130215.png
PF250434,FC003631,사랑의 모든것 [수원],2024.10.12,2024.10.20,인터미션 (소극장 아트홀),"김민호, 원주혜, 하혜지, 이현석, 정지우, 김용주, 박재민 등","한윤제, 김수빈",1시간 30분,만 15세 이상,,"전석 10,000원",공연완료,N,N,"토요일 ~ 일요일(14:00,17:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250434_241004_111700.png
PF250401,FC000808,"과천시립소년소녀합창단 하모니시리즈 3, 사라진 백설을 찾아라",2024.10.26,2024.10.26,과천시민회관 (대극장),,"방현혜, 김진아, 윤학준 등",1시간 20분,만 5세 이상,,"전석 2,000원",공연완료,N,N,토요일(17:00),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250401_241004_092934.gif
PF250376,FC001216,비녜트 더 보야지: The Voyage,2024.10.29,2024.10.30,서강대 메리홀 (대극장),"김건우, 김지연, 윤민섭, 이형동, 김민지, 이동주, 조은체 등","안병구, 강옥균, 김은빈 등",1시간 20분,만 7세 이상,노래하는 배우들,"전석 50,000원, 시야제한석 20,000원",공연완료,N,N,화요일 ~ 수요일(19:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250376_241002_170205.gif
PF250361,FC000455,정글라이프 [부안],2024.10.11,2024.10.11,부안예술회관 (공연장),"이주광, 하미미, 김진철, 손지애, 조환준, 김태윤, 원근영","박주형, 조민형, 이현섭 등",1시간 50분,만 7세 이상,,"전석 10,000원",공연완료,N,N,금요일(19:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250361_241002_160119.jpg
PF250322,FC000849,신초영전: 꿈엔들 잊으리오 [광주],2024.10.11,2024.10.11,광산문화예술회관 (대극장),"소지원, 이유리, 임현수, 남궁준영, 최준서, 함승우, 정수연 등","유태선, 임현수, 주현지 등",1시간 20분,만 11세 이상,,전석무료,공연완료,N,N,금요일(19:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250322_241002_135437.png
PF250298,FC003604,시몬베드로 [서울 (앵콜) ],2024.10.14,2024.10.15,도림교회 (예향콘서트홀(1층)),"백기한, 이담, 정현수, 안준원, 장아람, 김은혜, 김현 등","임현식, 백하경, 김영현 등",1시간 30분,만 7세 이상,,"전석 25,000원",공연완료,N,N,월요일 ~ 화요일(19:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250298_241002_115404.gif
PF250291,FC000345,금란방 [강릉],2024.10.26,2024.10.26,강릉단오제전수교육관(구. 단오문화관) (공연장),"하은서, 최인형, 서연정, 이혜수, 이기완, 안재홍, 금승훈 등","김태형, 박해림, 이진욱 등",2시간,만 13세 이상,(재)서울예술단,"R석 40,000원, S석 20,000원, A석 10,000원",공연완료,N,N,토요일(16:00),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250291_241002_112300.jpg
PF250284,FC000525,옹알스 [문경],2024.10.11,2024.10.12,문경문화예술회관 (문희아트홀),,,1시간 10분,만 7세 이상,,"전석 3,000원",공연완료,N,N,"금요일(19:30), 토요일(16:00,19:30)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250284_241004_145524.jpg
PF250269,FC000556,깃털피리 [울진],2024.10.19,2024.10.19,울진문화예술회관 (울진문화예술회관),,,1시간,36개월 이상,,"전석 10,000원",공연완료,Y,N,토요일(11:00),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250269_241002_103906.jpg
PF250262,FC000412,빵 굽는 포포아저씨 [계룡],2024.10.26,2024.10.26,계룡문화예술의전당 (대공연장),,,1시간,전체 관람가,,"전석 5,000원",공연완료,Y,N,"토요일(14:00,16:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250262_241002_101940.jpg
PF250243,FC000429,나에게로 떠나는 여행 [서산],2024.10.18,2024.10.19,서산시문화회관 (소공연장),"박하빈, 송창경, 김선, 조다슬, 김상원","김광홍, 송송이, 정태근 등",1시간 40분,만 7세 이상,극단감성,"전석 10,000원",공연완료,N,N,"금요일(19:30), 토요일(14:00,17:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250243_241002_094148.gif
PF250241,FC003652,콩쥐팥쥐 [청주],2024.10.12,2024.10.12,오즈아트홀 (오즈아트홀),"이예진, 김란, 김혜정, 김호태, 정민아","박미란, 소지원, 이연경",1시간,전체 관람가,펀펀한 뮤지컬컴퍼니,"VIP석 30,000원",공연완료,Y,N,"토요일(11:00,14:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250241_241002_093402.gif
PF250231,FC002877,시크릿 뮤지컬: 김려원의 ON-LY A ONE [세종],2024.10.26,2024.10.26,세종예술의전당 (다목적실 (3F) ),"이영미, 김려원",,1시간 30분,만 13세 이상,,"기본권 55,000원, 음료무제한권 65,000원",공연완료,N,N,토요일(17:00),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250231_240930_183140.gif
PF250229,FC002877,"시크릿 뮤지컬, 오늘 처음 만드는 뮤지컬 [세종]",2024.10.25,2024.11.02,세종예술의전당 (다목적실 (3F) ),"한세라, 홍우진, 김지훈, 이정수, 김승용, 정다희, 김태형 등",,1시간 30분,만 13세 이상,,"기본권 55,000원, 음료무제한권 65,000원",공연완료,N,N,"금요일(19:30), 토요일(17:00,19:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250229_240930_181659.gif
PF250226,FC002877,"시크릿뮤지컬, 아이위시 [세종]",2024.10.24,2024.10.31,세종예술의전당 (다목적실 (3F) ),"정호준, 김초하, 오주언, 박현수",,1시간 30분,만 13세 이상,,"음료무제한권 65,000원, 기본권 55,000원",공연완료,N,N,목요일(19:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250226_240930_180208.gif
PF250213,FC003466,아가씨와 건달들 [화성],2024.10.19,2024.10.20,SCN 아트홀 (소극장),"강동훈, 김현준, 권나현, 권순일, 나성현, 서지원, 성아현 등","신창식, 정세영, 신원희 등",1시간 20분,전체 관람가,,"전석 5,000원",공연완료,N,N,토요일 ~ 일요일(17:00),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250213_240930_171402.jpg
PF250212,FC001212,털이 뭐길래!,2024.10.25,2024.11.03,예그린씨어터 (예그린씨어터),"이다은, 최유진, 김나혁, 이희성, 이우성, 이지현, 김보경","이도윤, 구선진, 손희남 등",1시간,전체 관람가,,"전석 50,000원",공연완료,N,N,"화요일 ~ 금요일(19:30), 토요일 ~ 일요일(11:00,15:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250212_240930_171106.gif
PF250209,FC003249,우컴 뮤지컬 페스티벌 시즌2,2024.10.08,2024.10.13,한예극장 (오픈스테이지 (2관) ),"임다인, 신수민, 송자연, 구문회, 최재욱, 박민영, 육소하 등","우상욱, 곽희찬, 이헌재 등",,만 12세 이상,,전석무료,공연완료,N,Y,"화요일(19:30), 목요일 ~ 금요일(19:30), 토요일 ~ 일요일(18:00), HOL(16:00,19:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250209_240930_165738.jpg
PF250193,FC000084,"제21회 무룡 아트 페스티벌, 뮤지컬 갈라 콘서트",2024.10.28,2024.10.28,울산북구문화예술회관 (공연장),"홍지민, 정희선, 김수",,1시간 40분,만 7세 이상,,"전석 10,000원",공연완료,N,Y,월요일(19:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250193_240930_161031.jpg
PF250190,FC000832,뮤지컬 갈라쇼: 클라이막스,2024.09.27,2024.09.27,해운대문화회관 (해운홀),,,1시간 30분,만 7세 이상,,,공연완료,N,N,금요일(10:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF250190_240930_160606.png
PF250131,FC001683,실업자들 [부산],2024.10.18,2024.10.27,가마골소극장 (가마골소극장),"양현석, 박인화, 정혜원, 박현석, 차주원, 김도형, 최대한 등","강호석, 김하영, 이영재 등",1시간 20분,만 7세 이상,극단 가마골,"전석 30,000원",공연완료,N,N,"금요일(19:00), 토요일 ~ 일요일(16:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250131_240930_133300.gif
PF250122,FC001337,Dogs [경산],2024.10.26,2024.10.26,천마아트센터 (챔버홀),"정민경, 최효민, 홍지수, 류정인, 박소정, 김선애, 이태훈 등","김상훈, 조예원, 김채린 등",1시간 10분,전체 관람가,,"전석 35,000원",공연완료,N,N,"토요일(15:00,18:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250122_240930_131131.gif
PF250036,FC003589,냠냠할머니와 헨젤과 그레텔 [광주],2024.10.01,2024.10.31,롯데마트 [월드컵] (행복을 주는 가족극장),,,55분,24개월 이상,,"전석 25,000원",공연완료,Y,N,"화요일 ~ 금요일(10:20,11:20), 토요일 ~ 일요일(12:00,14:00,16:00), HOL(12:00,14:00,16:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF250036_240927_145000.jpg
PF249962,FC000216,기발한 아이 [인천],2024.10.19,2024.10.19,부평아트센터 (해누리극장),,,1시간 05분,만 5세 이상,,전석무료,공연완료,Y,N,토요일(16:00),http://www.kopis.or.kr/upload/pfmPoster/PF_PF249962_240927_095604.jpg
PF249899,FC000095,애니: 공개 드레스 리허설,2024.09.26,2024.09.26,하남문화예술회관 (검단홀(대극장)),"최은영, 곽보경, 남경주, 송일국, 신영숙, 김지선, 박소연 등","이종훈, 장소영, 신선호 등",2시간 20분,만 7세 이상,공연기획 감탄사,전석무료,공연완료,N,N,목요일(19:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF249899_240926_130108.jpg
PF249894,FC000076,"삼양동화, 춤추는 신데렐라 & 아빠 돼지 삼형제 [대전]",2024.10.18,2024.10.19,대전예술의전당 (앙상블홀),,,1시간,36개월 이상,,"전석 20,000원",공연완료,Y,N,"금요일(19:30), 토요일(11:00,14:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF249894_240926_124745.gif
PF249888,FC000460,하얀마음 하얀이 [완주],2024.10.25,2024.10.25,완주향토예술문화회관 (공연장),"문시연, 오현진, 이정원, 곽영철, 이현지, 김민아, 김철수 등","박경찬, 이성준, 황형순 등",1시간 20분,만 5세 이상,,"S석 10,000원",공연완료,N,N,금요일(19:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF249888_240926_122637.jpg
PF249813,FC001459,쿠로이 저택엔 누가 살고 있을까? [대학로],2024.10.29,2025.01.19,플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터) (플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터)),"송나영, 홍나현, 김단이, 정욱진, 정휘, 박은미, 김대종 등","신동은, 표상아, 김보영 등",1시간 50분,만 7세 이상,(주)랑,"R석 70,000원, S석 55,000원",공연중,N,N,"화요일(20:00), 수요일(16:00,20:00), 목요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF249813_240925_152450.jpg
PF249803,FC001359,"제49회 파주시립예술단 정기 공연, 리이: 율곡 이이 [파주]",2024.10.12,2024.10.13,파주운정행복센터 (공연장),"최윤우, 윤영석, 정길홍, 김환희, 김가람, 장선희, 최서영 등","김재한, 김경택, 최은희 등",1시간 20분,만 7세 이상,파주시립예술단,전석무료,공연완료,N,N,"토요일(16:00,19:30), 일요일(16:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF249803_240925_142817.jpg
PF249800,FC000145,드림 어 드림 [오산],2024.10.06,2024.10.06,오산문화예술회관 (대공연장),,,1시간 40분,전체 관람가,,전석무료,공연완료,N,N,일요일(17:00),http://www.kopis.or.kr/upload/pfmPoster/PF_PF249800_240925_141934.jpg
PF249785,FC000868,넌센스3 [성주],2024.10.19,2024.10.19,성주문화예술회관 (대공연장),,,,만 4세 이상,,"전석 20,000원",공연완료,N,N,토요일(17:00),http://www.kopis.or.kr/upload/pfmPoster/PF_PF249785_240925_133937.png
PF249781,FC001384,꼼메디아 디 피노키오,2024.10.08,2025.01.05,SH아트홀 (SH아트홀),"이세헌, 조성필, 박경호, 이승준, 이승현, 조성태, 이동연","김운기, 이희준, 이아람 등",1시간 40분,만 12세 이상,,"R석 66,000원, S석 44,000원",공연중,N,N,"화요일 ~ 수요일(20:00), 목요일(16:00,20:00), 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF249781_240925_133244.png
PF249763,FC001182,겨울왕국: 겨울이야기 [논산],2024.10.27,2024.10.27,논산아트센터(구. 논산문화예술회관) (대공연장),,,55분,전체 관람가,,"전석 24,800원",공연완료,Y,N,"일요일(11:30,14:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF249763_240925_125517.jpg
PF249754,FC002779,오버코트 [천안],2024.10.12,2024.10.13,천안어린이꿈누리터(구. 천안시 어린이 회관) (꿈누리대공연장),,,50분,36개월 이상,,,공연완료,Y,N,"토요일 ~ 일요일(11:00,15:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF249754_240925_123319.jpg
PF249736,FC000095,리멤버 레트로,2024.10.13,2024.10.13,하남문화예술회관 (아랑홀(소극장)),"최린, 장효강, 김지정, 허성영, 이성민, 백선욱, 심유진 등","김진수, 장효강, 이성민 등",1시간,전체 관람가,,전석무료,공연완료,N,N,일요일(19:00),http://www.kopis.or.kr/upload/pfmPoster/PF_PF249736_240925_110822.jpg
PF249686,FC001691,엄지공주 [대전],2024.09.26,2024.10.27,조이마루아트홀 (복합문화공간 플랜에이) (조이마루아트홀 (복합문화공간 플랜에이) ),,,1시간,전체 관람가,,"전석 16,000원",공연완료,Y,N,"토요일 ~ 일요일(12:00,14:00), HOL(12:00,14:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF249686_240924_151738.png
PF249674,FC000761,비밀의 화원 [음성],2024.10.18,2024.10.19,음성문화예술회관 (대공연장),"이금조, 김서환, 김종형, 김지혜",,1시간 40분,만 7세 이상,(재)국립정동극장,"R석 40,000원, S석 30,000원",공연완료,N,N,"금요일(19:30), 토요일(15:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF249674_240924_135401.gif
