,cast,title,genre
190,송나영,앤 ANNE,드라마/감동
191,이하린,앤 ANNE,드라마/감동
192,차준호,앤 ANNE,드라마/감동
193,신이나,앤 ANNE,드라마/감동
194,이예슬,앤 ANNE,드라마/감동
195,조혜령,앤 ANNE,드라마/감동
196,박다영,페이크북 (fakebook),코미디/유머
197,김태윤,페이크북 (fakebook),코미디/유머
198,임한나,페이크북 (fakebook),코미디/유머
199,장홍석,페이크북 (fakebook),코미디/유머
200,김채린,페이크북 (fakebook),코미디/유머
201,강대희,페이크북 (fakebook),코미디/유머
202,강한나,페이크북 (fakebook),코미디/유머
203,신고은,빨래,코미디/유머
204,강기헌,빨래,코미디/유머
205,조영임,빨래,코미디/유머
206,김은지,빨래,코미디/유머
207,김영환,빨래,코미디/유머
208,안두호,빨래,코미디/유머
209,이윤성,빨래,코미디/유머
210,최정원,시카고,"코미디/유머, 음악중심/주크박스"
211,윤공주,시카고,"코미디/유머, 음악중심/주크박스"
212,정선아,시카고,"코미디/유머, 음악중심/주크박스"
213,민경아,시카고,"코미디/유머, 음악중심/주크박스"
214,박건형,시카고,"코미디/유머, 음악중심/주크박스"
215,최재림,시카고,"코미디/유머, 음악중심/주크박스"
216,김영주,시카고,"코미디/유머, 음악중심/주크박스"
217,김여진,썸데이,드라마/감동
218,서찬양,썸데이,드라마/감동
219,정지환,썸데이,드라마/감동
220,윤환호,썸데이,드라마/감동
221,이혜빈,썸데이,드라마/감동
222,박소진,썸데이,드라마/감동
223,강성락,썸데이,드라마/감동
224,문재웅,어른동생,코미디/유머
225,정혜인,어른동생,코미디/유머
226,박다은,어른동생,코미디/유머
227,남정우,어른동생,코미디/유머
228,김진우,어른동생,코미디/유머
229,이일진,어른동생,코미디/유머
230,백선주,어른동생,코미디/유머
231,박정윤,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
232,이아영,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
233,안정현,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
234,유현주,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
235,박희민,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
236,최현진,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
237,김혜경,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
238,박찬우,NEW 달을 품은 슈퍼맨,"드라마/감동, 코미디/유머, 액션/스릴러, 판타지/어드벤처, 음악중심/주크박스 중 판타지/어드벤처"
239,김기영,NEW 달을 품은 슈퍼맨,"드라마/감동, 코미디/유머, 액션/스릴러, 판타지/어드벤처, 음악중심/주크박스 중 판타지/어드벤처"
240,이시윤,NEW 달을 품은 슈퍼맨,"드라마/감동, 코미디/유머, 액션/스릴러, 판타지/어드벤처, 음악중심/주크박스 중 판타지/어드벤처"
241,이상혁,NEW 달을 품은 슈퍼맨,"드라마/감동, 코미디/유머, 액션/스릴러, 판타지/어드벤처, 음악중심/주크박스 중 판타지/어드벤처"
242,엄채윤,NEW 달을 품은 슈퍼맨,"드라마/감동, 코미디/유머, 액션/스릴러, 판타지/어드벤처, 음악중심/주크박스 중 판타지/어드벤처"
243,엄슬기,NEW 달을 품은 슈퍼맨,"드라마/감동, 코미디/유머, 액션/스릴러, 판타지/어드벤처, 음악중심/주크박스 중 판타지/어드벤처"
244,김경태,NEW 달을 품은 슈퍼맨,"드라마/감동, 코미디/유머, 액션/스릴러, 판타지/어드벤처, 음악중심/주크박스 중 판타지/어드벤처"
245,박정윤,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
246,이아영,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
247,안정현,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
248,유현주,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
249,박희민,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
250,최현진,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
251,김혜경,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
252,조남희,5! 해피맨,"코미디/유머, 음악중심/주크박스"
253,민준호,5! 해피맨,"코미디/유머, 음악중심/주크박스"
254,최오식,5! 해피맨,"코미디/유머, 음악중심/주크박스"
255,윤성규,5! 해피맨,"코미디/유머, 음악중심/주크박스"
256,유영민,5! 해피맨,"코미디/유머, 음악중심/주크박스"
257,이대열,5! 해피맨,"코미디/유머, 음악중심/주크박스"
258,김재한,5! 해피맨,"코미디/유머, 음악중심/주크박스"
259,김동희,와일드 와일드: 애프터파티,음악중심/주크박스
260,강천일,와일드 와일드: 애프터파티,음악중심/주크박스
261,이희중,와일드 와일드: 애프터파티,음악중심/주크박스
262,이윤제,와일드 와일드: 애프터파티,음악중심/주크박스
263,박도경,와일드 와일드: 애프터파티,음악중심/주크박스
264,정한샘,와일드 와일드: 애프터파티,음악중심/주크박스
265,한진욱,와일드 와일드: 애프터파티,음악중심/주크박스
266,최은영,애니,음악중심/주크박스
267,곽보경,애니,음악중심/주크박스
268,남경주,애니,음악중심/주크박스
269,송일국,애니,음악중심/주크박스
270,신영숙,애니,음악중심/주크박스
271,김지선,애니,음악중심/주크박스
272,박소연,애니,음악중심/주크박스
273,황두현,드라이 플라워,"드라마/감동, 음악중심/주크박스"
274,이동수,드라이 플라워,"드라마/감동, 음악중심/주크박스"
275,류동휘,드라이 플라워,"드라마/감동, 음악중심/주크박스"
276,조용휘,드라이 플라워,"드라마/감동, 음악중심/주크박스"
277,이한솔,드라이 플라워,"드라마/감동, 음악중심/주크박스"
278,최반석,드라이 플라워,"드라마/감동, 음악중심/주크박스"
279,박주혁,드라이 플라워,"드라마/감동, 음악중심/주크박스"
280,박정윤,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
281,이아영,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
282,안정현,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
283,유현주,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
284,박희민,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
285,최현진,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
286,김혜경,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
287,임경원,"제1회 서울시 청년뮤지컬 페스티벌, 소월",드라마/감동
288,서의철,"제1회 서울시 청년뮤지컬 페스티벌, 소월",드라마/감동
289,김선직,"제1회 서울시 청년뮤지컬 페스티벌, 소월",드라마/감동
290,우다현,"제1회 서울시 청년뮤지컬 페스티벌, 소월",드라마/감동
291,김청,"제1회 서울시 청년뮤지컬 페스티벌, 소월",드라마/감동
292,조훈,브람스,음악중심/주크박스
293,김수용,브람스,음악중심/주크박스
294,박혜민,브람스,음악중심/주크박스
295,김담현,브람스,음악중심/주크박스
296,김현주,내친구 북극곰 발루,코미디/유머
297,문창주,내친구 북극곰 발루,코미디/유머
298,신온주,내친구 북극곰 발루,코미디/유머
299,조소연,내친구 북극곰 발루,코미디/유머
300,정성현,내친구 북극곰 발루,코미디/유머
301,조범준,싯다르타,드라마/감동
302,박규연,싯다르타,드라마/감동
303,최수형,싯다르타,드라마/감동
304,이지현,싯다르타,드라마/감동
305,박태성,싯다르타,드라마/감동
306,박세웅,싯다르타,드라마/감동
307,김지강,싯다르타,드라마/감동
308,박정원,랭보,드라마/감동
309,손유동,랭보,드라마/감동
310,박준휘,랭보,드라마/감동
311,김리현,랭보,드라마/감동
312,김재범,랭보,드라마/감동
313,김종구,랭보,드라마/감동
314,김경수,랭보,드라마/감동
315,정성화,"15주년 기념공연, 영웅",음악중심/주크박스
316,양준모,"15주년 기념공연, 영웅",음악중심/주크박스
317,민우혁,"15주년 기념공연, 영웅",음악중심/주크박스
318,서영주,"15주년 기념공연, 영웅",음악중심/주크박스
319,이정열,"15주년 기념공연, 영웅",음악중심/주크박스
320,정재은,"15주년 기념공연, 영웅",음악중심/주크박스
321,김진수,"15주년 기념공연, 영웅",음악중심/주크박스
322,김다솔,틀려도 괜찮아,드라마/감동
323,송주리,틀려도 괜찮아,드라마/감동
324,전승우,틀려도 괜찮아,드라마/감동
325,서가영,틀려도 괜찮아,드라마/감동
326,고지은,틀려도 괜찮아,드라마/감동
327,정민,틀려도 괜찮아,드라마/감동
328,구윤희,틀려도 괜찮아,드라마/감동
329,정사윤,빈센트 반 고흐,드라마/감동
330,김경수,빈센트 반 고흐,드라마/감동
331,박유덕,빈센트 반 고흐,드라마/감동
332,홍승안,빈센트 반 고흐,드라마/감동
333,황민수,빈센트 반 고흐,드라마/감동
334,박좌헌,빈센트 반 고흐,드라마/감동
335,김기택,빈센트 반 고흐,드라마/감동
336,안상태,트리아웃,"드라마/감동, 코미디/유머"
337,안일권,트리아웃,"드라마/감동, 코미디/유머"
338,김동규,트리아웃,"드라마/감동, 코미디/유머"
339,박혜련,트리아웃,"드라마/감동, 코미디/유머"
340,이규석,트리아웃,"드라마/감동, 코미디/유머"
341,오미준,트리아웃,"드라마/감동, 코미디/유머"
342,임예빈,트리아웃,"드라마/감동, 코미디/유머"
343,김다솔,틀려도 괜찮아,드라마/감동
344,송주리,틀려도 괜찮아,드라마/감동
345,전승우,틀려도 괜찮아,드라마/감동
346,서가영,틀려도 괜찮아,드라마/감동
347,고지은,틀려도 괜찮아,드라마/감동
348,정민,틀려도 괜찮아,드라마/감동
349,구윤희,틀려도 괜찮아,드라마/감동
350,이준서,"베베핀, 우당탕탕 패밀리","코미디/유머, 음악중심/주크박스"
351,김유정,"베베핀, 우당탕탕 패밀리","코미디/유머, 음악중심/주크박스"
352,박소은,"베베핀, 우당탕탕 패밀리","코미디/유머, 음악중심/주크박스"
353,채다린,"베베핀, 우당탕탕 패밀리","코미디/유머, 음악중심/주크박스"
354,김성학,"베베핀, 우당탕탕 패밀리","코미디/유머, 음악중심/주크박스"
355,이미현,"베베핀, 우당탕탕 패밀리","코미디/유머, 음악중심/주크박스"
356,채희원,"베베핀, 우당탕탕 패밀리","코미디/유머, 음악중심/주크박스"
357,이준서,"베베핀, 우당탕탕 패밀리",코미디/유머
358,김유정,"베베핀, 우당탕탕 패밀리",코미디/유머
359,박소은,"베베핀, 우당탕탕 패밀리",코미디/유머
360,채다린,"베베핀, 우당탕탕 패밀리",코미디/유머
361,김성학,"베베핀, 우당탕탕 패밀리",코미디/유머
362,채희원,"베베핀, 우당탕탕 패밀리",코미디/유머
363,김근형,"베베핀, 우당탕탕 패밀리",코미디/유머
364,이준서,"베베핀, 우당탕탕 패밀리",코미디/유머
365,김유정,"베베핀, 우당탕탕 패밀리",코미디/유머
366,박소은,"베베핀, 우당탕탕 패밀리",코미디/유머
367,채다린,"베베핀, 우당탕탕 패밀리",코미디/유머
368,김성학,"베베핀, 우당탕탕 패밀리",코미디/유머
369,이미현,"베베핀, 우당탕탕 패밀리",코미디/유머
370,채희원,"베베핀, 우당탕탕 패밀리",코미디/유머
371,이준서,"베베핀, 우당탕탕 패밀리","코미디/유머, 음악중심/주크박스"
372,김유정,"베베핀, 우당탕탕 패밀리","코미디/유머, 음악중심/주크박스"
373,박소은,"베베핀, 우당탕탕 패밀리","코미디/유머, 음악중심/주크박스"
374,채다린,"베베핀, 우당탕탕 패밀리","코미디/유머, 음악중심/주크박스"
375,김성학,"베베핀, 우당탕탕 패밀리","코미디/유머, 음악중심/주크박스"
376,이미현,"베베핀, 우당탕탕 패밀리","코미디/유머, 음악중심/주크박스"
377,채희원,"베베핀, 우당탕탕 패밀리","코미디/유머, 음악중심/주크박스"
378,오혜미,아기 오리의 모험,판타지/어드벤처
379,정효진,아기 오리의 모험,판타지/어드벤처
380,박용희,아기 오리의 모험,판타지/어드벤처
381,감창선,아기 오리의 모험,판타지/어드벤처
382,김린,1025 일공이오,드라마/감동
383,이지형,1025 일공이오,드라마/감동
384,오선혜,1025 일공이오,드라마/감동
385,권민지,1025 일공이오,드라마/감동
386,이하연,1025 일공이오,드라마/감동
387,최아라,1025 일공이오,드라마/감동
388,이다빈,1025 일공이오,드라마/감동
389,강영하,"마침내, 독립",드라마/감동
390,길하윤,"마침내, 독립",드라마/감동
391,김정익,"마침내, 독립",드라마/감동
392,김진영,"마침내, 독립",드라마/감동
393,김혜원,"마침내, 독립",드라마/감동
394,박가영,"마침내, 독립",드라마/감동
395,송동욱,"마침내, 독립",드라마/감동
396,이정주,알라딘과 요술램프,판타지/어드벤처
397,서가영,알라딘과 요술램프,판타지/어드벤처
398,송주리,알라딘과 요술램프,판타지/어드벤처
399,김다솔,알라딘과 요술램프,판타지/어드벤처
400,전승우,알라딘과 요술램프,판타지/어드벤처
401,고승미,알라딘과 요술램프,판타지/어드벤처
402,김혜은,알라딘과 요술램프,판타지/어드벤처
403,박정윤,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
404,이아영,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
405,안정현,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
406,유현주,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
407,박희민,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
408,최현진,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
409,김혜경,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
410,이제현,리턴,"드라마/감동, 코미디/유머"
411,신지애,리턴,"드라마/감동, 코미디/유머"
412,황규진,리턴,"드라마/감동, 코미디/유머"
413,이상희,울프,판타지/어드벤처
414,신하진,울프,판타지/어드벤처
415,이빛나,울프,판타지/어드벤처
416,한다희,울프,판타지/어드벤처
417,김부경,울프,판타지/어드벤처
418,전소담,울프,판타지/어드벤처
419,황보성,울프,판타지/어드벤처
420,박정윤,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
421,이아영,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
422,안정현,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
423,유현주,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
424,박희민,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
425,최현진,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
426,김혜경,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
427,정재환,쓰릴 미,"코미디/유머, 액션/스릴러"
428,박상혁,쓰릴 미,"코미디/유머, 액션/스릴러"
429,정지우,쓰릴 미,"코미디/유머, 액션/스릴러"
430,황휘,쓰릴 미,"코미디/유머, 액션/스릴러"
431,반정모,쓰릴 미,"코미디/유머, 액션/스릴러"
432,장윤석,쓰릴 미,"코미디/유머, 액션/스릴러"
433,박세연,목 짧은 기린 지피,코미디/유머
434,백지연,목 짧은 기린 지피,코미디/유머
435,조영환,목 짧은 기린 지피,코미디/유머
436,정재헌,목 짧은 기린 지피,코미디/유머
437,오경미,목 짧은 기린 지피,코미디/유머
438,곽은혜,목 짧은 기린 지피,코미디/유머
439,장석준,목 짧은 기린 지피,코미디/유머
440,방현주,깃털피리,드라마/감동
441,최지연,깃털피리,드라마/감동
442,이상희,깃털피리,드라마/감동
443,유지수,깃털피리,드라마/감동
444,이지우,깃털피리,드라마/감동
445,이수영,깃털피리,드라마/감동
446,곽현호,깃털피리,드라마/감동
447,이미주,수피아의 노래,음악중심/주크박스
448,최아라,수피아의 노래,음악중심/주크박스
449,이유미,수피아의 노래,음악중심/주크박스
450,백라예,수피아의 노래,음악중심/주크박스
451,김민기,수피아의 노래,음악중심/주크박스
452,김호영,킹키부츠,음악중심/주크박스
453,이석훈,킹키부츠,음악중심/주크박스
454,김성규,킹키부츠,음악중심/주크박스
455,신재범,킹키부츠,음악중심/주크박스
456,박은태,킹키부츠,음악중심/주크박스
457,최재림,킹키부츠,음악중심/주크박스
458,강홍석,킹키부츠,음악중심/주크박스
459,박정윤,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
460,이아영,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
461,안정현,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
462,유현주,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
463,박희민,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
464,최현진,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
465,김혜경,캐치! 티니핑: 두근두근 싱어롱 콘서트!,음악중심/주크박스
466,김효선,"육영수, 그 시절의 아카시아",드라마/감동
467,신민호,"육영수, 그 시절의 아카시아",드라마/감동
468,정다미,"육영수, 그 시절의 아카시아",드라마/감동
