title,start_date,end_date,place,cast,runtime,age,tickets,story,genre,prstate,time
시카고 [전주],2024.10.04,2024.10.06,2024.10.06,"최정원, 윤공주, 정선아, 박은혜, 스테파니 영 황, 민경아, 박건형 등",2시간 25분,만 13세 이상,"VIP석 160,000원, R석 140,000원, S석 110,000원, A석 80,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,18:30), 일요일(14:00)"
5! 해피맨,2024.08.23,2024.09.08,2024.09.08,"조남희, 민준호, 최오식, 윤성규, 유영민, 이대열, 김재한 등",2시간 10분,만 7세 이상,"R석 77,000원, S석 66,000원",,뮤지컬,공연완료,"수요일 ~ 금요일(19:30), 토요일(15:00,19:00), 일요일(15:00)"
홀리 이노센트,2024.09.27,2024.12.08,2024.12.08,"유현석, 윤은오, 최재웅, 윤승우, 문유강, 김재한, 정우연 등",1시간 40분,만 13세 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연중,"화요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
부치하난,2024.09.17,2024.11.17,2024.11.17,"정택운, 유영재, 노윤, 임예진, 지수연, 이재림, 양승리 등",2시간 40분,만 13세 이상,"OP석 120,000원, VIP석 120,000원, R석 90,000원, S석 60,000원",,뮤지컬,공연중,"화요일 ~ 목요일(19:30), 금요일(15:00,19:30), 토요일(15:00,19:30), 일요일(14:00,18:30), HOL(14:00,18:30)"
와일드 와일드: 애프터파티,2024.08.16,2024.12.31,2024.12.31,"김동희, 강천일, 이희중, 이윤제, 박도경, 정한샘, 한진욱 등",1시간 15분,만 19세 이상,"WILDEVENT석 125,000원, WILDWILD석 99,000원, WILD석 77,000원, R석 66,000원, 시야방해석 60,000원",,뮤지컬,공연중,"화요일 ~ 목요일(20:00), 금요일(17:00,20:00), 토요일(17:00,20:00), 일요일(15:00,18:00), HOL(18:00,20:00)"
애니,2024.10.01,2024.10.27,2024.10.27,"최은영, 곽보경, 남경주, 송일국, 신영숙, 김지선, 박소연 등",2시간 15분,만 4세 이상,"VIP석 130,000원, R석 110,000원, 커플석 110,000원, S석 90,000원",,뮤지컬,공연완료,"화요일 ~ 금요일(19:30), 토요일 ~ 일요일(14:00,18:30), HOL(14:00,18:30)"
드라이 플라워,2024.09.24,2024.12.06,2024.12.06,"황두현, 이동수, 류동휘, 조용휘, 이한솔, 최반석, 박주혁 등",1시간 40분,만 7세 이상,"R석 66,000원, S석 55,000원, A석 44,000원",,뮤지컬,공연중,"화요일(20:00), 수요일(16:00,20:00), 목요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [김해],2024.10.05,2024.10.06,2024.10.06,"박정윤, 이아영, 안정현, 유현주, 박희민, 최현진, 김혜경 등",1시간 05분,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
쿠로이 저택엔 누가 살고 있을까? [이천],2024.10.04,2024.10.05,2024.10.05,"송나영, 정욱진, 한보라, 유성재, 김지훈, 이경욱",1시간 50분,만 7세 이상,"R석 30,000원",,뮤지컬,공연완료,"금요일(20:00), 토요일(15:00)"
이터니티 (ETERNITY) [대학로],2024.09.19,2024.12.08,2024.12.08,"변희상, 김준영, 현석준, 이봉준, 조민호, 김우성, 김보현 등",1시간 40분,만 13세 이상,"R석 77,000원, S석 55,000원",,뮤지컬,공연중,"화요일 ~ 금요일(20:00), 토요일 ~ 일요일(14:00,18:00), HOL(14:00,18:00)"
싯다르타 [부산],2024.09.21,2024.09.22,2024.09.22,"조범준, 박규연, 최수형, 이지현, 박태성, 박세웅, 김지강 등",2시간 30분,만 7세 이상,"VIP석 130,000원, R석 110,000원, S석 90,000원, A석 70,000원, B석 50,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(14:00,18:00)"
비밀의 화원 [화성],2024.10.11,2024.10.12,2024.10.12,"김청아, 정백선, 박선영, 김지혜",1시간 40분,만 7세 이상,"R석 60,000원, S석 40,000원, A석 30,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00)"
랭보 [대학로],2024.09.17,2024.12.08,2024.12.08,"박정원, 손유동, 박준휘, 김리현, 김재범, 김종구, 김경수 등",2시간,만 13세 이상,"R석 77,000원, S석 55,000원",,뮤지컬,공연중,"화요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
"15주년 기념공연, 영웅 [안동]",2024.09.13,2024.09.15,2024.09.15,"정성화, 양준모, 민우혁, 서영주, 이정열, 정재은, 김진수 등",2시간 45분,만 7세 이상,"VIP석 160,000원, R석 140,000원, S석 110,000원, A석 80,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,18:30), 일요일(14:00)"
빈센트 반 고흐,2024.09.07,2024.12.01,2024.12.01,"정사윤, 김경수, 박유덕, 홍승안, 황민수, 박좌헌, 김기택",1시간 50분,만 11세 이상,"R석 66,000원, S석 55,000원, A석 44,000원",,뮤지컬,공연중,"화요일(20:00), 수요일(16:00,20:00), 목요일 ~ 금요일(20:00), 토요일 ~ 일요일(14:00,18:00), HOL(14:00,18:00)"
틀려도 괜찮아 [군포],2024.10.05,2024.10.06,2024.10.06,"김다솔, 송주리, 전승우, 서가영, 고지은, 정민, 구윤희 등",1시간 05분,24개월 이상,"R석 30,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:00)"
"베베핀, 우당탕탕 패밀리 [남양주]",2024.09.28,2024.09.29,2024.09.29,"이준서, 김유정, 박소은, 채다린, 김성학, 이미현, 채희원 등",1시간 05분,12개월 이상,"VIP석 66,000원, R석 55,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
"베베핀, 우당탕탕 패밀리 [대전]",2024.10.19,2024.10.20,2024.10.20,"이준서, 김유정, 박소은, 채다린, 김성학, 이미현, 채희원 등",1시간 5분,12개월 이상,"VIP석 66,000원, R석 55,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
"베베핀, 우당탕탕 패밀리 [인천]",2024.09.21,2024.09.22,2024.09.22,"이준서, 김유정, 박소은, 채다린, 김성학, 채희원, 김근형 등",1시간 05분,12개월 이상,"VIP석 66,000원, R석 55,000원",,뮤지컬,공연완료,"토요일(11:00,14:00,16:30), 일요일(11:00,14:00)"
"베베핀, 우당탕탕 패밀리 [광주]",2024.10.12,2024.10.13,2024.10.13,"이준서, 김유정, 박소은, 채다린, 김성학, 이미현, 채희원 등",1시간 05분,12개월 이상,"VIP석 66,000원, R석 55,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
"베베핀, 우당탕탕 패밀리 [대구]",2024.10.05,2024.10.06,2024.10.06,"이준서, 김유정, 박소은, 채다린, 김성학, 이미현, 채희원 등",1시간 5분,12개월 이상,"VIP석 66,000원, R석 55,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [여수],2024.09.21,2024.09.22,2024.09.22,"박정윤, 이아영, 안정현, 유현주, 박희민, 최현진, 김혜경 등",1시간 05분,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
리지 LIZZIE,2024.09.14,2024.12.01,2024.12.01,"김소향, 김려원, 이봄소리, 정지은, 이아름솔, 오지민, 이효은 등",2시간,만 16세 이상,"R석 88,000원, S석 66,000원",,뮤지컬,공연중,"화요일 ~ 목요일(19:30), 금요일(15:00,19:30), 토요일(14:00,18:00), 일요일(14:00), HOL(14:00,18:00)"
정글북 [대구],2024.10.26,2024.10.27,2024.10.27,"김민규, 김세진, 김유상, 인선호, 장경원, 이정민, 류정훈 등",1시간 20분,36개월 이상,"R석 70,000원, A석 60,000원",,뮤지컬,공연완료,"토요일(11:00,14:00,16:30), 일요일(11:00,14:00)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [수원],2024.09.14,2024.09.15,2024.09.15,"박정윤, 이아영, 안정현, 유현주, 박희민, 최현진, 김혜경 등",1시간,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
더 매드원스 (The Mad Ones),2024.08.14,2024.08.25,2024.08.25,"권수현, 이채림, 박희량, 신이나, 박민규, 김단",1시간 45분,만 14세 이상,"R석 59,000원, S석 39,000원",,뮤지컬,공연완료,"화요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(15:00), HOL(14:00,18:00)"
쓰릴 미,2024.09.10,2024.12.01,2024.12.01,"정재환, 박상혁, 정지우, 황휘, 반정모, 장윤석 등",1시간 40분,만 15세 이상,"R석 66,000원, S석 50,000원",,뮤지컬,공연중,"화요일 ~ 금요일(19:30), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
킹키부츠,2024.09.07,2024.11.10,2024.11.10,"김호영, 이석훈, 김성규, 신재범, 박은태, 최재림, 강홍석 등",2시간 35분,만 7세 이상,"밀라노석 170,000원, VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",,뮤지컬,공연완료,"화요일(19:30), 수요일(14:30,19:30), 목요일 ~ 금요일(19:30), 토요일 ~ 일요일(14:00,19:00), HOL(14:00,19:00)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [전주],2024.09.28,2024.09.29,2024.09.29,"박정윤, 이아영, 안정현, 유현주, 박희민, 최현진, 김혜경 등",1시간,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
"육영수, 그 시절의 아카시아 [대구]",2024.08.10,2024.08.11,2024.08.11,"김효선, 신민호, 정다미, 문지수, 장원준, 양동혁, 장인혁 등",2시간 05분,만 13세 이상,"VIP석 100,000원, R석 80,000원, S석 60,000원, A석 40,000원",,뮤지컬,공연완료,"토요일(14:30,19:30), 일요일(14:30)"
경종수정실록 [대학로],2024.08.20,2024.11.10,2024.11.10,"주민진, 박규원, 유승현, 김지온, 박준휘, 홍기범, 강찬 등",1시간 50분,만 13세 이상,"R석 70,000원, S석 50,000원",,뮤지컬,공연완료,"화요일(20:00), 수요일(16:00,20:00), 목요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
금란방,2024.08.29,2024.09.28,2024.09.28,"김건혜, 하은서, 박재은, 김백현, 최인형, 이한수, 송문선 등",2시간,만 13세 이상,"무대석 70,000원, R석 50,000원",,뮤지컬,공연완료,"화요일(19:30), 수요일(15:00,19:30), 목요일 ~ 금요일(19:30), 토요일(14:30,19:00), 일요일(14:30)"
"15주년 기념공연, 영웅 [대구]",2024.09.20,2024.09.29,2024.09.29,"정성화, 양준모, 민우혁, 김도형, 서영주, 이정열, 최민철 등",2시간 45분,만 7세 이상,"VIP석 160,000원, R석 140,000원, S석 110,000원, A석 90,000원, B석 60,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,18:30), 일요일(14:00)"
"바다탐험대 옥토넛 시즌3, 바다넘어 육지까지 [서울]",2024.10.12,2024.10.13,2024.10.13,"최선, 김루나, 안세희, 김하엘, 최종현, 김지연, 김민수",1시간 5분,24개월 이상,"R석 66,000원",,뮤지컬,공연완료,"토요일(11:00,14:00,16:00), 일요일(11:00,14:00)"
스텝: 춤추는 발자국,2024.04.22,2024.12.31,2024.12.31,"이은혜, 정윤아, 양석진, 김동환, 김태연 등",1시간 10분,전체 관람가,"VIP석 40,000원, R석 36,000원",,뮤지컬,공연중,"월요일 ~ 금요일(09:30,11:30,15:00), HOL(15:00)"
설민석의 한국사 대모험: 영웅의 시간 [성남],2024.09.07,2024.09.08,2024.09.08,설민석 등,1시간 10분,24개월 이상,"R석 70,000원, S석 60,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
알라딘과 요술램프 [성남],2024.09.14,2024.09.15,2024.09.15,"이정주, 서가영, 송주리, 김다솔, 전승우, 고승미, 김혜은 등",1시간 10분,24개월 이상,"R석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
설민석의 한국사 대모험: 영웅의 시간 [대전],2024.08.31,2024.09.01,2024.09.01,설민석 등,1시간 10분,전체 관람가,"R석 66,000원, S석 55,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [대구 (앵콜) ],2024.10.19,2024.10.20,2024.10.20,"박정윤, 이아영, 안정현, 유현주, 박희민, 최현진, 김혜경 등",1시간 05분,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
아가사 [군포],2024.08.30,2024.08.31,2024.08.31,"최수진, 백은혜, 이정화, 김재범, 고상호, 정지우, 홍기범 등",2시간 15분,만 14세 이상,"R석 60,000원, S석 50,000원, A석 30,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,18:30)"
흔해빠진 일,2024.07.27,2024.08.18,2024.08.18,"강인수, 조모세, 길하은, 신가은, 이한솔, 김도하, 최지우 등",2시간 35분,만 13세 이상,"VIP석 88,000원, R석 77,000원, S석 66,000원",,뮤지컬,공연완료,"화요일 ~ 금요일(19:30), 토요일 ~ 일요일(14:00,19:00), HOL(14:00,19:00)"
홍련,2024.07.30,2024.08.31,2024.08.31,"한재아, 김이후, 홍나현, 이아름솔, 김경민, 이지연, 고상호 등",1시간 30분,만 13세 이상,"R석 66,000원, S석 55,000원",,뮤지컬,공연완료,"화요일 ~ 수요일(20:00), 목요일(16:00,20:00), 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
설민석의 한국사 대모험: 영웅의 시간 [대구],2024.08.17,2024.08.18,2024.08.18,설민석 등,1시간 10분,전체 관람가,"R석 66,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
"와일드 와일드, 애프터파티",2024.08.16,2024.12.31,2024.12.31,"이국영, 류지한, 김사홍, 김동희, 강천일, 이희중, 이윤제 등",1시간 15분,만 19세 이상,"WILD EVENT석 125,000원, WILD WILD석 99,000원, WILD석 77,000원, R석 66,000원, 시야방해석 60,000원",,뮤지컬,공연중,"화요일 ~ 목요일(20:00), 금요일(17:00,20:00), 토요일(17:00,20:00), 일요일(15:00,18:00)"
"피크닉#4, 등등곡",2024.07.17,2024.07.19,2024.07.19,"김재범, 유승현, 김지철, 김바다, 정재환, 안지환, 강찬 등",1시간 40분,만 13세 이상,"R석 70,000원, S석 50,000원, A석 40,000원",,뮤지컬,공연완료,수요일 ~ 금요일(20:00)
장영실과 함께하는 별별 GPT [여수],2024.07.19,2024.07.20,2024.07.20,"임하영, 이동근, 이진서, 강건희, 엄주하, 최서윤, 권하진 등",1시간 30분,만 7세 이상,"R석 30,000원, S석 20,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(11:00,15:00)"
"15주년 기념공연, 영웅 [울산]",2024.09.06,2024.09.08,2024.09.08,"정성화, 양준모, 민우혁, 김도형, 최민철, 정재은, 솔지 등",2시간 45분,만 7세 이상,"VIP석 160,000원, R석 140,000원, S석 99,000원, A석 77,000원, B석 55,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,19:00), 일요일(14:00)"
"15주년 기념공연, 영웅 [수원]",2024.08.16,2024.08.18,2024.08.18,"정성화, 양준모, 민우혁, 서영주, 이정열, 유리아, 정재은 등",2시간 45분,만 7세 이상,"VIP석 160,000원, R석 140,000원, S석 100,000원, A석 80,000원, B석 60,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,19:00), 일요일(14:00)"
"15주년 기념공연, 영웅 [부산]",2024.08.23,2024.09.01,2024.09.01,"정성화, 양준모, 민우혁, 김도형, 서영주, 이정열, 최민철 등",2시간 45분,만 7세 이상,"VIP석 160,000원, OP석 160,000원, R석 140,000원, S석 100,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,18:30), 일요일(14:00)"
이상한 나라의 앨리스 [부산],2024.08.03,2024.08.04,2024.08.04,"채효진, 임수정, 김병수, 김소정, 임하람, 김찬양, 차용현 등",1시간 10분,36개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
접변 [대학로],2024.07.20,2024.09.22,2024.09.22,"임찬민, 송지온, 정우연, 양서윤, 전해주, 전하영, 윤정섭 등",1시간 40분,만 13세 이상,"R석 66,000원, S석 55,000원, A석 44,000원, 시야제한석 20,000원",,뮤지컬,공연완료,"화요일(20:00), 수요일(16:00,20:00), 목요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [서울 (앵콜) ],2024.08.01,2024.08.18,2024.08.18,"박정윤, 이아영, 안정현, 유현주, 박희민, 최현진, 김혜경 등",1시간 05분,24개월 이상,"R석 66,000원",,뮤지컬,공연완료,"화요일 ~ 금요일(11:00,14:00), 토요일(11:00,14:00,16:30), 일요일(11:00,14:00)"
시데레우스,2024.07.24,2024.10.13,2024.10.13,"이창용, 안재영, 김지철, 기세중, 정휘, 윤석호, 유낙원 등",1시간 40분,만 7세 이상,"R석 66,000원, S석 55,000원",,뮤지컬,공연완료,"화요일 ~ 금요일(20:00), 토요일(15:00,18:30), 일요일(15:00,18:30), HOL(15:00,18:30)"
노트르담 드 파리 [안성],2024.07.05,2024.07.06,2024.07.06,"윤형렬, 정유지, 이지훈, 이정열, 민영기, 최민철, 김승대 등",2시간 30분,만 7세 이상,"VIP석 150,000원, R석 120,000원, S석 90,000원, A석 60,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,19:00)"
아가사 [고양],2024.07.27,2024.07.28,2024.07.28,"최수진, 백은혜, 이정화, 김재범, 고상호, 윤소호, 정지우 등",2시간 15분,만 13세 이상,"R석 60,000원, S석 40,000원, A석 30,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(14:00,18:30)"
디어 에반 핸슨 (Dear Evan Hansen) [부산],2024.07.04,2024.07.21,2024.07.21,"박강현, 임규형, 김성규, 신영숙, 김선영, 임지섭, 윤승우 등",2시간 40분,만 13세 이상,"VIP석 160,000원, R석 130,000원, S석 100,000원, A석 70,000원",,뮤지컬,공연완료,"목요일(19:30), 금요일(14:30,19:30), 토요일 ~ 일요일(14:00,19:00)"
사의찬미 [대학로],2024.07.02,2024.09.22,2024.09.22,"주민진, 진태화, 임준혁, 홍승안, 최연우, 김려원, 이정화 등",1시간 50분,만 12세 이상,"R석 77,000원, S석 66,000원, A석 55,000원",,뮤지컬,공연완료,"화요일(20:00), 수요일(16:00,20:00), 목요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [제주],2024.07.20,2024.07.21,2024.07.21,"공예림, 이아영, 유현주, 이겨울, 박희민, 최현진, 김혜경 등",1시간,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [목포],2024.08.31,2024.09.01,2024.09.01,"박정윤, 이아영, 안정현, 유현주, 박희민, 최현진, 김혜경 등",1시간,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
조선 이야기꾼 전기수,2024.07.27,2024.08.25,2024.08.25,"박혜원, 노혜성, 박한들, 김하준, 노현창, 신재성, 전재광 등",1시간 30분,만 7세 이상,"OP석 88,000원, R석 88,000원, S석 66,000원",,뮤지컬,공연완료,"화요일(19:30), 수요일(16:00,19:30), 목요일(19:30), 금요일(16:00,19:30), 토요일(11:00,15:00,19:00), 일요일(11:00,15:00), HOL(11:00,15:00,19:00)"
